City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
602,Jacareacanga,BR,76.66,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
604,San Ramon De La Nueva Oran,AR,87.42,clear sky,-23.1322,-64.326,Hotel Residencial Centro
605,Enugu,NG,82.15,overcast clouds,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
606,Sao Gabriel Da Cachoeira,BR,82.11,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
607,San Patricio,US,87.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
608,Akyab,MM,78.67,few clouds,20.15,92.9,Hotel Memory
609,Mancio Lima,BR,82.62,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
612,Nizwa,OM,77.72,clear sky,22.9333,57.5333,Orient Apartments
617,Waddan,LY,80.89,clear sky,29.1614,16.139,محل الشريف محمد العايب
618,Abonnema,NG,80.55,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
624,Rio Muerto,MX,85.28,scattered clouds,27.4167,-110.2333,
627,Iralaya,HN,83.44,clear sky,15.0,-83.2333,Iglesia morava renovada
628,Keti Bandar,PK,78.19,scattered clouds,24.1447,67.4497,Haji laloo memon house
630,Dalaba,GN,78.17,overcast clouds,10.7,-12.25,Hôtel Tangama
632,Merauke,ID,77.32,scattered clouds,-8.4667,140.3333,
633,Northport,US,75.58,clear sky,33.229,-87.5772,Hotel Capstone
641,Tabou,CI,80.47,overcast clouds,4.423,-7.3528,hotêl doufoulougou
643,Tandalti,SD,88.5,overcast clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
644,Grand Gaube,MU,80.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
645,Veraval,IN,77.43,clear sky,20.9,70.3667,Lords Inn Somnath
648,Morgan City,US,82.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
650,Bocaiuva,BR,84.2,clear sky,-17.1078,-43.815,Hotel Maxim's
651,Honiara,SB,79.0,overcast clouds,-9.4333,159.95,Heritage Park Hotel
653,Cabedelo,BR,75.87,light rain,-6.9811,-34.8339,Hotel Pigalle
654,Coahuayana,MX,86.43,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
656,Kieta,PG,79.11,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
657,Remuna,IN,79.16,broken clouds,21.5261,86.8722,Maharana cottage
658,Katherine,AU,75.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
662,Nauta,PE,81.61,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
663,Champerico,GT,86.74,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
671,Douentza,ML,91.15,broken clouds,14.9951,-2.9517,Ogomono Doumbo
